node_id,rank,feature_id,beta,rho,num_hops,top_k
2478,8,393,0.025516601279377937,0.03,2,10
2478,9,534,0.025516601279377937,0.03,2,10
2478,10,619,0.025516601279377937,0.03,2,10
2076,1,19,0.11282787472009659,0.03,2,10
2076,2,1381,0.1056460291147232,0.03,2,10
2076,3,755,0.10283294320106506,0.03,2,10
2076,4,694,0.08408035337924957,0.03,2,10
2076,5,64,0.07317686080932617,0.03,2,10
2076,6,1254,0.06853152066469193,0.03,2,10
2076,7,724,0.059333957731723785,0.03,2,10
2076,8,52,0.053415488451719284,0.03,2,10
2076,9,878,0.05244644358754158,0.03,2,10
2076,10,540,0.04245942831039429,0.03,2,10
2386,1,19,0.23588025569915771,0.03,2,10
2386,2,1175,0.23588025569915771,0.03,2,10
2386,3,284,0.23303553462028503,0.03,2,10
2386,4,1263,0.14349398016929626,0.03,2,10
2386,5,540,0.09018512815237045,0.03,2,10
2386,6,507,0.07771461457014084,0.03,2,10
2386,7,260,0.06750540435314178,0.03,2,10
2386,8,273,0.06750540435314178,0.03,2,10
2386,9,470,0.06601379066705704,0.03,2,10
2386,10,4,0.0641619861125946,0.03,2,10
1744,1,1263,0.19710609316825867,0.03,2,10
1744,2,495,0.04261039197444916,0.03,2,10
1744,3,1075,0.038099244236946106,0.03,2,10
1744,4,623,0.037462927401065826,0.03,2,10
1744,5,507,0.03744150325655937,0.03,2,10
1744,6,19,0.02991943620145321,0.03,2,10
1744,7,299,0.016939328983426094,0.03,2,10
1744,8,615,0.016193503513932228,0.03,2,10
1744,9,760,0.014048514887690544,0.03,2,10
1744,10,176,0.012316664680838585,0.03,2,10
2575,1,1205,0.1724742352962494,0.03,2,10
2575,2,1330,0.1724742352962494,0.03,2,10
2575,3,1328,0.08752819150686264,0.03,2,10
2575,4,827,0.07170389592647552,0.03,2,10
2575,5,45,0.05128328874707222,0.03,2,10
2575,6,126,0.05128328874707222,0.03,2,10
2575,7,292,0.05128328874707222,0.03,2,10
2575,8,398,0.05128328874707222,0.03,2,10
2575,9,490,0.05128328874707222,0.03,2,10
2575,10,559,0.05128328874707222,0.03,2,10
2137,1,135,0.2402712106704712,0.03,2,10
2137,2,93,0.18364757299423218,0.03,2,10
2137,3,205,0.12891539931297302,0.03,2,10
2137,4,814,0.10462290793657303,0.03,2,10
2137,5,1005,0.08293694257736206,0.03,2,10
2137,6,1132,0.08293694257736206,0.03,2,10
2137,7,507,0.07304021716117859,0.03,2,10
2137,8,874,0.06853128224611282,0.03,2,10
2137,9,729,0.06799373030662537,0.03,2,10
2137,10,19,0.0608866810798645,0.03,2,10
2334,1,1075,0.31295546889305115,0.03,2,10
2334,2,763,0.24606658518314362,0.03,2,10
2334,3,1263,0.14924030005931854,0.03,2,10
2334,4,1149,0.08918334543704987,0.03,2,10
2334,5,393,0.08081798255443573,0.03,2,10
2334,6,1177,0.07011116296052933,0.03,2,10
2334,7,1049,0.06667113304138184,0.03,2,10
2334,8,860,0.05441231280565262,0.03,2,10
2334,9,1132,0.037802085280418396,0.03,2,10
2334,10,956,0.03248065337538719,0.03,2,10
2146,1,486,0.24670501053333282,0.03,2,10
2146,2,1259,0.19231350719928741,0.03,2,10
2146,3,1375,0.1612391322851181,0.03,2,10
2146,4,1357,0.14388494193553925,0.03,2,10
2146,5,132,0.11394858360290527,0.03,2,10
2146,6,1328,0.07317027449607849,0.03,2,10
2146,7,664,0.06568758934736252,0.03,2,10
2146,8,32,0.02942097745835781,0.03,2,10
2146,9,1201,0.02942097745835781,0.03,2,10
2146,10,349,0.02219095639884472,0.03,2,10
2556,1,19,0.20804233849048615,0.03,2,10
2556,2,1132,0.1912907361984253,0.03,2,10
2556,3,1075,0.17041416466236115,0.03,2,10
2556,4,1306,0.10398168861865997,0.03,2,10
2556,5,911,0.09273140877485275,0.03,2,10
2556,6,650,0.039148230105638504,0.03,2,10
2556,7,1194,0.039148230105638504,0.03,2,10
2556,8,1174,0.03779987245798111,0.03,2,10
2556,9,937,0.03470470756292343,0.03,2,10
2556,10,191,0.02910761907696724,0.03,2,10
1966,1,661,0.21905410289764404,0.03,2,10
1966,2,455,0.2162419706583023,0.03,2,10
1966,3,285,0.11631738394498825,0.03,2,10
1966,4,125,0.09234631806612015,0.03,2,10
1966,5,336,0.07619502395391464,0.03,2,10
1966,6,935,0.053732942789793015,0.03,2,10
1966,7,6,0.03846384584903717,0.03,2,10
1966,8,1139,0.0332527831196785,0.03,2,10
1966,9,523,0.033074475824832916,0.03,2,10
1966,10,135,0.02985686995089054,0.03,2,10
1721,1,1263,0.17292921245098114,0.03,2,10
1721,2,495,0.06689605116844177,0.03,2,10
1721,3,19,0.05066520720720291,0.03,2,10
1721,4,507,0.04337744414806366,0.03,2,10
1721,5,623,0.028308264911174774,0.03,2,10
1721,6,774,0.02690490335226059,0.03,2,10
1721,7,337,0.026199553161859512,0.03,2,10
1721,8,1075,0.02316180430352688,0.03,2,10
1721,9,698,0.0228608138859272,0.03,2,10
1721,10,615,0.016766326501965523,0.03,2,10
2052,1,581,0.22684381902217865,0.03,2,10
2052,2,132,0.12920956313610077,0.03,2,10
2052,3,1075,0.11955669522285461,0.03,2,10
2052,4,869,0.057280782610177994,0.03,2,10
2052,5,1315,0.056352052837610245,0.03,2,10
2052,6,1348,0.052167877554893494,0.03,2,10
2052,7,969,0.04584011808037758,0.03,2,10
2052,8,133,0.04364503547549248,0.03,2,10
2052,9,1332,0.030045295134186745,0.03,2,10
2052,10,915,0.028758199885487556,0.03,2,10
2451,1,495,0.16781172156333923,0.03,2,10
2451,2,1263,0.11989883333444595,0.03,2,10
2451,3,507,0.09799516201019287,0.03,2,10
2451,4,1332,0.09052424877882004,0.03,2,10
2451,5,211,0.08776315301656723,0.03,2,10
2451,6,1132,0.08542097359895706,0.03,2,10
2451,7,299,0.07061796635389328,0.03,2,10
2451,8,1197,0.05512437969446182,0.03,2,10
2451,9,874,0.052675601094961166,0.03,2,10
2451,10,1118,0.03928590193390846,0.03,2,10
2122,1,536,0.3169972598552704,0.03,2,10
2122,2,1278,0.14581094682216644,0.03,2,10
2122,3,282,0.13268330693244934,0.03,2,10
2122,4,398,0.09368009120225906,0.03,2,10
2122,5,939,0.08859284967184067,0.03,2,10
2122,6,1054,0.07025881856679916,0.03,2,10
2122,7,808,0.06890848278999329,0.03,2,10
2122,8,1381,0.05796852335333824,0.03,2,10
2122,9,153,0.05441238731145859,0.03,2,10
2122,10,172,0.05358695238828659,0.03,2,10
2609,1,475,0.2575165331363678,0.03,2,10
2609,2,619,0.18085820972919464,0.03,2,10
2609,3,1138,0.15376541018486023,0.03,2,10
2609,4,819,0.05600811541080475,0.03,2,10
2609,5,860,0.05043911561369896,0.03,2,10
2609,6,261,0.043478239327669144,0.03,2,10
2609,7,1118,0.043478239327669144,0.03,2,10
2609,8,52,0.03753581643104553,0.03,2,10
2609,9,176,0.03753581643104553,0.03,2,10
2609,10,330,0.03753581643104553,0.03,2,10
