node_id,rho,neighbourhood_size,subgraph_edges,active_features,degenerate_features,output_bandwidth,output_centered_norm,lipschitz_constant,step_size,converged,iterations,initial_objective,final_objective,objective_reduction,relative_change,num_nonzero,has_full_top_k,max_beta,min_beta,num_top_features,top_10_features,top_10_betas
1749,0.1,194,768,839,594,0.1985519975423813,41.786041259765625,7.578358173370361,0.13195469975471497,True,100,0.5000004172325134,0.4947519898414612,0.005248427391052246,7.508562660518692e-09,2,False,0.10239900648593903,0.0,2,1263;507,0.1023990065;0.0023471676
1749,0.3,194,768,839,594,0.1985519975423813,41.786041259765625,7.578358173370361,0.13195469975471497,True,1,0.5000004172325134,0.5000004172325134,0.0,0.0,0,False,0.0,0.0,0,,
1726,0.001,190,772,820,613,0.2365036904811859,42.85700225830078,8.01025676727295,0.12483994662761688,True,847,0.5000001788139343,0.4286186397075653,0.07138153910636902,9.64929114388724e-09,286,True,0.24870294332504272,0.0,10,1263;495;1075;398;19;763;507;176;623;397,0.2487029433;0.0702368394;0.0570869520;0.0539305881;0.0386381298;0.0357154831;0.0343169011;0.0329371765;0.0315485969;0.0288281068
1726,0.003,190,772,820,613,0.2365036904811859,42.85700225830078,8.01025676727295,0.12483994662761688,True,825,0.5000001788139343,0.43239688873291016,0.06760329008102417,9.601264672198795e-09,236,True,0.24874190986156464,0.0,10,1263;495;1075;398;19;763;507;176;623;99,0.2487419099;0.0702875555;0.0568622984;0.0535273775;0.0381237753;0.0353328623;0.0341612995;0.0311579872;0.0309712943;0.0283061061
1726,0.01,190,772,820,613,0.2365036904811859,42.85700225830078,8.01025676727295,0.12483994662761688,True,354,0.5000001788139343,0.442947119474411,0.057053059339523315,9.947892287698323e-09,139,True,0.24831470847129822,0.0,10,1263;495;1075;398;19;763;507;623;99;176,0.2483147085;0.0697817877;0.0556689873;0.0521434434;0.0363519564;0.0330588929;0.0323786251;0.0288771782;0.0264475103;0.0247902665
1726,0.03,190,772,820,613,0.2365036904811859,42.85700225830078,8.01025676727295,0.12483994662761688,True,208,0.5000001788139343,0.4600397050380707,0.03996047377586365,9.463355432615117e-09,22,True,0.24156232178211212,0.0,10,1263;495;1075;398;19;507;763;623;99;760,0.2415623218;0.0631733611;0.0472335480;0.0461374857;0.0273674726;0.0230648126;0.0196681879;0.0163293350;0.0133380294;0.0111175347
1726,0.1,190,772,820,613,0.2365036904811859,42.85700225830078,8.01025676727295,0.12483994662761688,True,114,0.5000001788139343,0.4826730191707611,0.017327159643173218,0.0,2,False,0.1856541782617569,0.0,2,1263;495,0.1856541783;0.0108874114
1726,0.3,190,772,820,613,0.2365036904811859,42.85700225830078,8.01025676727295,0.12483994662761688,True,1,0.5000001788139343,0.5000001788139343,0.0,0.0,0,False,0.0,0.0,0,,
2499,0.001,7,16,71,1362,0.08248905092477798,1.8729840517044067,15.451394081115723,0.06471908092498779,True,236,0.4999999403953552,0.10972872376441956,0.39027121663093567,9.451891713752048e-09,54,True,0.1416882574558258,0.0,10,211;777;1426;89;110;289;373;431;442;726,0.1416882575;0.1416882575;0.1416882575;0.0534782410;0.0534782410;0.0534782410;0.0534782410;0.0534782410;0.0534782410;0.0534782410
2499,0.003,7,16,71,1362,0.08248905092477798,1.8729840517044067,15.451394081115723,0.06471908092498779,True,230,0.4999999403953552,0.11256931722164154,0.3874306231737137,9.405896506109457e-09,54,True,0.14169363677501678,0.0,10,211;777;1426;89;110;289;373;431;442;726,0.1416936368;0.1416936368;0.1416936368;0.0533208698;0.0533208698;0.0533208698;0.0533208698;0.0533208698;0.0533208698;0.0533208698
