node_id,prediction_stability_0_01,mean_jaccard_0_01,prediction_stability_0_20,mean_jaccard_0_20,prediction_stability_change,explanation_stability_change,endpoint_jaccard_available,prediction_endpoint_unchanged,explanation_endpoint_decreased,direct_decoupling_event
2200,1.0,0.8787878787878789,1.0,0.3593840370156159,0.0,-0.5194038417722631,True,True,True,True
2202,1.0,0.7909090909090909,1.0,0.4136446886446886,0.0,-0.3772644022644023,True,True,True,True
2207,1.0,0.8939393939393939,1.0,0.3945970695970696,0.0,-0.49934232434232434,True,True,True,True
2209,1.0,0.915151515151515,1.0,0.4878010878010877,0.0,-0.42735042735042733,True,True,True,True
2218,1.0,0.9818181818181818,1.0,0.6365301365301366,0.0,-0.34528804528804524,True,True,True,True
2236,1.0,0.8265734265734267,1.0,0.3695970695970695,0.0,-0.4569763569763572,True,True,True,True
2237,1.0,0.8454545454545455,1.0,0.3943869855634561,0.0,-0.4510675598910894,True,True,True,True
2238,1.0,0.8575757575757577,1.0,0.4285714285714285,0.0,-0.42900432900432917,True,True,True,True
2261,0.8,0.9303030303030304,0.8,0.393131868131868,0.0,-0.5371711621711623,True,True,True,True
2266,1.0,0.912121212121212,1.0,0.3988095238095238,0.0,-0.5133116883116882,True,True,True,True
2290,1.0,0.8393939393939395,1.0,0.4693869855634561,0.0,-0.3700069538304834,True,True,True,True
2298,0.9,0.9090909090909092,0.8,0.4550673498041919,-0.09999999999999998,-0.4540235592867173,True,False,True,False
2304,1.0,0.915151515151515,1.0,0.4017399267399267,0.0,-0.5134115884115884,True,True,True,True
2311,1.0,0.9023310023310024,1.0,0.471053946053946,0.0,-0.43127705627705637,True,True,True,True
2334,1.0,0.9666666666666666,1.0,0.4659340659340659,0.0,-0.5007326007326007,True,True,True,True
